ano;modalidade;numero_ano;processo;situacao;objeto;natureza;demandante;modalidade_compra;homologacao_mes;valor_estimado_ufpr;valor_estimado_outros;valor_contratado_ufpr;valor_contratado_ufpr;homologacao_mes_ano
2014;Pregão Eletrônico;048/2014;06.243/2014-97;Fracassado;Serviços de plotagem, impressão, fotocópia e digitalização, destinados à Prefeitura da Cidade Universitária (PCU).;Serviço;PCU;Sem Informação;;0.0;0.0;0.0;0.0;
2014;Pregão Eletrônico;051/2014;29.446/2013-71;Homologado;Contratação de serviços de engenharia para levantamento planialtimétrico cadastral no Campus Palotina;Serviço;PCU;Sem Informação;;17700.0;0.0;17629.9;0.0;
2014;Pregão Eletrônico;012/2014;01.496/2014-74;Homologado;Aquisição de medicamentos;material;Cecom;SRP;;183928.03;0.0;112443.66;0.0;
2014;Pregão Eletrônico;075/2014;35.995/2013-84;Homologado;Fornecimento e espalhamento de saibro;serviço;PCU;Sem Informação;;299030.09;0.0;168350.0;0.0;
2014;Pregão Eletrônico;014/2014;048295/2013-64;Homologado;Serviços de seguro internacional para transportes de cargas da UFPR e Hospital de Clínicas.;Serviço;Setor de Importação;Aquisição imediata;;25000.0;0.0;25000.0;0.0;
2014;Pregão Eletrônico;015/2014;01.947/2014-73;Homologado;Aquisição de material bibliográfico;material;BC;Aquisição imediata;;141023.04;0.0;89469.11;0.0;
2014;Pregão Eletrônico;016/2014;42.733/2013-76;Homologado;Aquisição de compra de sacolas;material;Editora;SRP;;9158.0;0.0;4346.2;0.0;
2014;Pregão Eletrônico;017/2014;01.964/2014-19;Homologado;Aquisição de veículo - SRP;material;GR;SRP;;5785866.64;0.0;4789333.28;0.0;
2014;Pregão Eletrônico;090/2014;06.243/2014-97;Homologado;Serviços de plotagem, impressão, fotocópia e digitalização, destinados à Prefeitura da Cidade Universitária (PCU).;Sem Informação;PCU;Sem Informação;;35343.0;0.0;21500.0;0.0;
2014;Pregão Eletrônico;019/2014;01.895/2014-35;Homologado;Aquisição de material de expediente;material;AC;SRP;;237094.98;0.0;110970.1;0.0;
2014;Pregão Eletrônico;020/2014;02.165/2014-51;Homologado;Aquisição de materiais de  e permanente;material;Teatro da Reitoria;SRP;;21677.48;0.0;13467.3;0.0;
2014;Pregão Eletrônico;021/2014;02.595/2014-73;Homologado;Aquisição de equipamentos e material de laboratório (SRP);material;Nutrição;SRP;;1598870.62;0.0;760911.37;0.0;
2014;Pregão Eletrônico;001/2014;54.812/2013-20;Homologado;Aquisição de materiais de construção ;Material;PCU;Sem Informação;;1008851.0;0.0;864865.0;0.0;
2014;Pregão Eletrônico;023/2014;49.994/2013-1;Cancelado;Contratação de transportadora para transporte de obras;Serviço;PROEC;Aquisição imediata;;0.0;0.0;0.0;0.0;
2014;Pregão Eletrônico;024/2014;37.726/2013-52;Homologado;Aquisição de leitões para aulas de medicina (SRP);material;SD;SRP;;78352.0;0.0;72000.0;0.0;
2014;Pregão Eletrônico;025/2014;002293/2014-03;Homologado;Aquisição de material hospitalar (SRP);material;HV;SRP;;325193.53;0.0;178621.78;0.0;
2014;Pregão Eletrônico;006/2014;042528/2013-19;Anulado;Contratação de empresa de engenharia para instalação de sistema de climatização BL (vide PE 140 2014);Serviço e Material;PCU;Sem Informação;;31.0;0.0;0.0;0.0;
2014;Pregão Eletrônico;007/2014;042886/2013-13;Homologado;Ar condicionado Ciências Exatas, Agrárias e Reitoria;Serviço;PCU;Sem Informação;;104439.0;0.0;85099.99;0.0;
2014;Pregão Eletrônico;028/2014;07.873/2014-89;Homologado;Aquisição de coletores de impressão digital;material;NC;Aquisição imediata;;50000.0;0.0;27898.0;0.0;
2014;Pregão Eletrônico;029/2014;08.341/2014-69;Homologado;Aquisição de equipamentos (SRP);material;HV;SRP;;359982.61;0.0;140600.0;0.0;
2014;Pregão Eletrônico;008/2014;033948/2013-04;Em Andamento;Serviços de engenharia para instalação de sistema de climatização destinados a diversos Setores, Centran, IU, TV, SD, BL e AG;Serviço;PCU;Sem Informação;;102166.33;0.0;0.0;0.0;
2014;Pregão Eletrônico;031/2014;07.599/2014-28;Homologado;Aquisição de hortifrutigranjeiros;Sem Informação;RU;SRP;;1683113.4;0.0;1012168.0;0.0;
2014;Pregão Eletrônico;032/2014;007243/2014-12;Fase Interna;Prestação de serviços de limpeza de caixa;Serviço;RU;Aquisição imediata;;68942.76;0.0;0.0;0.0;
2014;Pregão Eletrônico;033/2014;07.465/2014-27;Homologado;Aquisição de envelopes de segurança - SRP;Sem Informação;NC;SRP;;146000.0;0.0;19800.0;0.0;
2014;Pregão Eletrônico;009/2014;44.770/2013-19;Homologado;Aquisição de um elevador de passageiros para acessibilidade no Setor de Ciências Aplicadas com retirada do existente  Campus Botânico;material;PCU;Sem Informação;;193421.0;0.0;173900.0;0.0;
2014;Pregão Eletrônico;035/2014;07.466/2014-71;Homologado;Higienização de coletes;Serviço;NC;SRP;;87050.65;0.0;14832.16;0.0;
2014;Pregão Eletrônico;036/2014;55.958/2013-92;Homologado;"Contratação de empresa para prestação de serviços especializados na área
 de apoio aos fiscais de contrato";Serviço;DAAST;Sem Informação;;1114192.2;0.0;965580.0;0.0;
2014;Pregão Eletrônico;037/2014;010732/2014-43;Homologado;Aquisição de móveis (SRP);material;CECOM;SRP;;9219408.8;0.0;4994300.0;0.0;
2014;Pregão Eletrônico;038/2014;08.910/2014-76;Homologado;Aquisição de leitores de códigos de barras;Sem Informação;Cecom;Aquisição imediata;;80479.8;0.0;57000.0;0.0;
2014;Pregão Eletrônico;010/2014;44.630/2013-41;Homologado;Fornecimento e instalação de um elevador para acessibilidade para o bloco de salas de aula (bloco azul) no SEPT  Campus III;material;PCU;Sem Informação;;169154.67;0.0;151390.0;0.0;
2014;Pregão Eletrônico;011/2014;42.747/2013-90;Homologado;Fornecimento e instalação de um elevador panorâmico para acessibilidade da biblioteca do Anexo A Ed. Teixeira Soares e um elevador para acessibilidade para o bloco de salas Politécnico;material;PCU;Sem Informação;;172488.0;0.0;262400.0;0.0;
2014;Pregão Eletrônico;041/2014;11.183/2014-24;Homologado;Aquisição de material de  1 - SRP;material;Química BL;SRP;;3346246.9;0.0;2105255.4;0.0;
2014;Pregão Eletrônico;042/2014;11.186/2014-68;Homologado;Aquisição de material de química (SRP);material;Química BL;SRP;;2766893.5;0.0;1224019.5;0.0;
2014;Pregão Eletrônico;043/2014;05.521/20014-99;Homologado;Serviço de publicação de livro;Serviço;SCH;Aquisição imediata;;20317.5;0.0;17880.0;0.0;
2014;Pregão Eletrônico;044/2014;09.385/2013-25;Homologado;Contratação de terceirizados para Imprensa;Serviço;IU;Sem Informação;;3875685.4;0.0;3320732.28;0.0;
2014;Pregão Eletrônico;045/2014;12.455/2014-11;Cancelado;Aquisição de lixeiras;Sem Informação;Cecom;Sem Informação;;0.0;0.0;0.0;0.0;
2014;Pregão Eletrônico;046/2014;12.283/2014-78;Cancelado;Aquisição de água mineral (SRP);Sem Informação;Cecom;SRP;;0.0;0.0;0.0;0.0;
2014;Pregão Eletrônico;047/2014;201.725/2014-59;Homologado;Locação de equipamentos multimídia;Serviço;PROEC;Aquisição imediata;;33500.0;0.0;15040.0;0.0;
2014;Pregão Eletrônico;013/2014;001288/2014-75;Homologado;Aquisição de materiais hidráulicos destinado a Prefeitura da Cidade Universitária, desta UFPR.;material;PCU;Sem Informação;;169301.6;0.0;118635.45;40163.53;
2014;Pregão Eletrônico;049/2014;009249/2014-16;Homologado;Contratação de serviço de publicação (publicidade legal) (SRP);Serviço;CECOM;SRP;;291100.0;0.0;45100.0;0.0;
2014;Pregão Eletrônico;050/2014;11.787/2014-71;Homologado;Aquisição de materiais para Clínica Escola;material;T.O.;SRP;;56136.6;0.0;40613.25;0.0;
2014;Pregão Eletrônico;026/2014;45.379/2013-31;Homologado;Contratação de empresa para coleta, transporte e tratamento de resíduos;Serviço;PCU;Sem Informação;;203200.0;0.0;136000.0;0.0;
2014;Pregão Eletrônico;052/2014;013434/2014-13;Homologado;Serviço de Coffee Break (SRP);Serviço;Cecom;SRP;;672800.0;0.0;468600.0;0.0;
2014;Pregão Eletrônico;053/2014;006209/2014-12;Homologado;Aquisição de equipamentos laboratoriais;material;Departamento de Solos;Aquisição imediata;;19920.6;0.0;10315.0;0.0;
2014;Pregão Eletrônico;054/2014;011327/2014-42;Homologado;Aquisição de material hospitalar (SRP);material;HV;SRP;;760651.22;0.0;224788.0;0.0;
2014;Pregão Eletrônico;055/2014;13.953/2014-73;Homologado;Aquisição de fragmentadoras portáteis;material;Cecom;SRP;;398333.0;0.0;292356.0;0.0;
2014;Pregão Eletrônico;056/2014;007627/2014-27;Homologado;Aquisição de equipamentos;material;HV;SRP;;187279.64;0.0;161117.49;0.0;
2014;Pregão Eletrônico;057/2014;14.067/2014-67;Homologado;Aquisição de vidrarias - SRP;material;Cecom;SRP;;1155512.2;0.0;462772.5;0.0;
2014;Pregão Eletrônico;058/2014;13.847/2014-90;Homologado;Aquisição de materiais diversos;material;Palotina;Aquisição imediata;;4369.8;0.0;4366.9;0.0;
2014;Pregão Eletrônico;059/2014;013788/2014-50;Homologado;Contratação de empresa para conserto de cabine de segurança biológica;Serviço;Palotina;Aquisição imediata;;5180.0;0.0;5000.0;0.0;
2014;Pregão Eletrônico;060/2014;14.036/2014-14;Homologado;Aquisição de equipamentos;Sem Informação;Palotina;SRP;;6555.4;0.0;4486.0;0.0;
2014;Pregão Eletrônico;027/2014;007978/2014-38;Homologado;Levantamento planialtimétrico e sondagem geológica, moradia estudantil Campus Palotina;Serviço;PCU;Sem Informação;;9983.0;0.0;9933.0;0.0;
2014;Pregão Eletrônico;040/2014;011110/2014-32;Homologado;Aquisição de materiais elétricos ;material;PCU;Sem Informação;;1536529.5;0.0;431316.0;0.0;
2014;Pregão Eletrônico;062/2014;13.402/2014-18;Homologado;Contratação de serviços de lavanderia;Serviço;PROEC;Aquisição imediata;;147823.2;0.0;54890.0;0.0;
2014;Pregão Eletrônico;063/2014;012704/2014-61;Homologado;aquisição parcelada de materiais de consumo destinados ao Almoxarifado Central;material;AC;SRP;;184612.2;0.0;90368.0;0.0;
2014;Pregão Eletrônico;064/2014;14.173/2014-41;Homologado;Aquisição de equipamento e material de consumo para laboratório de biomassa;Sem Informação;Cecom;Aquisição imediata;;19513.75;0.0;9766.99;0.0;
2014;Pregão Eletrônico;065/2014;013354/2014-50;Homologado;Aquisição de materiais de expediente;material;AC;SRP;;390215.87;0.0;188322.72;0.0;
2014;Pregão Eletrônico;067/2014;013561/2014-12;Homologado;Aquisição de material de consumo;Sem Informação;AC;SRP;;399786.5;0.0;215964.0;0.0;
2014;Pregão Eletrônico;068/2014;11786/2014-26;Homologado;Material para Clínica Escola de Terapia Ocupacional (SRP);material;DTO;SRP;;26560.93;0.0;15313.25;0.0;
2014;Pregão Eletrônico;069/2014;014750/2014-02;Homologado;Profissionais especializados comunicação;Serviço;ASC;Sem Informação;;2635433.41;0.0;2479507.39;0.0;
2014;Pregão Eletrônico;070/2014;09.458/2014-60;Homologado;Fabricação e instalação de portão;Serviço;Sept;Aquisição imediata;;5607.61;0.0;3463.0;0.0;
2014;Pregão Eletrônico;071/2014;16.384/2014-18;Homologado;Locação de equipamentos de iluminação, sonorização, vídeo e palco p/ Festival de Inverno;Serviço;PROEC;Aquisição imediata;;376000.0;0.0;67400.0;0.0;
2014;Pregão Eletrônico;072/2014;014704/2014-03;Homologado;Aquisição de equipamentos de laboratório;material;CECOM;SRP;;195343.33;0.0;83611.94;0.0;
2014;Pregão Eletrônico;073/2014;007553/2014-29;Fracassado;Aquisição de lona vinílica;Sem Informação;IU;Sem Informação;;22620.0;0.0;0.0;0.0;
2014;Pregão Eletrônico;074/2014;012523/2014-34;Homologado;Aquisição de materiais diversos;materiais;Palotina;SRP;;26878.08;0.0;23401.77;0.0;
2014;Pregão Eletrônico;061/2014;034665/2013-71;Fracassado;Elaboração de projetos básicos de arquitetura e engenharia (Lotes 1 e 2) para o Setor Palotina e Setor Litoral;Sem Informação;PCU;Sem Informação;;0.0;0.0;0.0;0.0;
2014;Pregão Eletrônico;076/2014;16.092/2014-85;Cancelado;Aquisição de caixas de papelão ondulado;Sem Informação;IU;Sem Informação;;0.0;0.0;0.0;0.0;
2014;Pregão Eletrônico;077/2014;45.600/2013-51;Homologado;Aquisição de camisetas;material;Cecom;SRP;;515930.0;0.0;288590.0;0.0;
2014;Pregão Eletrônico;078/2014;016507/2014-11;Homologado;Aquisição de utensílios de cozinha;material;SD;SRP;;169893.2;0.0;99481.1;0.0;
2014;Pregão Eletrônico;079/2014;013334/2014-89;Homologado;Aquisição de equipamentos de proteção individual - SRP;material;CECOM;SRP;;33944.88;0.0;23410.11;0.0;
2014;Pregão Eletrônico;080/2014;046859/2014-10;Homologado;Aquisição de Lâmpadas: multimídia, halógena, microscópio, fluorescente, emergência (SRP);material;Cecom;SRP;;841802.4;0.0;505207.6;0.0;
2014;Pregão Eletrônico;066/2014;015157/2014-75;Homologado;Aquisição de material de pintura;material;PCU;SRP;;1185524.89;0.0;573983.1;0.0;
2014;Pregão Eletrônico;082/2014;019447/2014-98;Homologado;Aquisição de material para hospital veterinário de Curitiba e Palotina (SRP);material;HV;SRP;;100390.75;0.0;25749.79;0.0;
2014;Pregão Eletrônico;083/2014;019096/2014-15;Homologado;Aquisição de jalecos;material;BL-RU;SRP;;35083.0;0.0;24635.7;0.0;
2014;Pregão Eletrônico;084/2014;015381/2014-67;Homologado;Aquisição de material de infraestrutura de rede (SRP);material;CCE;SRP;;3697053.9;0.0;2774652.95;0.0;
2014;Pregão Eletrônico;085/2014;014839/2014-61;Homologado;Aquisição de produtos químicos;material;CECOM;SRP;;539535.76;0.0;217839.32;0.0;
2014;Pregão Eletrônico;086/2014;017056/2014-30;Homologado;Aquisição de Carnes;material;RU;SRP;;4168161.2;0.0;3194521.12;0.0;
2014;Pregão Eletrônico;087/2014;016131/2014-44;Homologado;Contratação de empresa para prestação de serviços de rastreamento e monitoramento de veículos;Serviço;CENTRAN;SRP;;429708.0;0.0;232080.0;0.0;
2014;Pregão Eletrônico;088/2014;19.000/2014-19;Homologado;Aquisição de refeições preparadas;Serviço;ACS;Aquisição imediata;;47625.3;0.0;46600.0;0.0;
2014;Pregão Eletrônico;089/2014;019950/2014-43;Homologado;Aquisição de água mineral 20 litros (SRP);material;CECOM;SRP;;179216.0;0.0;76368.0;0.0;
2014;Pregão Eletrônico;081/2014;015690/2014-37;Homologado;Aquisição de materiais de construção;material;PCU;SRP;;1460237.0;0.0;1065683.2;725950.5;
2014;Pregão Eletrônico;091/2014;020405/2014-08;Homologado;Aquisição de materiais e equipamentos para laboratório de Química (SRP);material;CECOM;SRP;;558602.6;0.0;344193.8;0.0;
2014;Pregão Eletrônico;092/2014;020162/2014-08;Homologado;Aquisição de Material Odontológico;material;Depto de Odontologia;SRP;;1584208.78;0.0;881883.26;0.0;
2014;Pregão Eletrônico;093/2014;011021/2014-96;Homologado;Aquisição de material bibliográfico;material;BC;Aquisição imediata;;135177.46;0.0;91626.65;0.0;
2014;Pregão Eletrônico;094/2014;019614/2014-09;Homologado;Aquisição de estantes dupla face;material;CECOM;Aquisição imediata;;36633.0;0.0;23615.5;0.0;
2014;Pregão Eletrônico;095/2014;054168/2013-90;Fracassado;Aquisição de Materiais Odontológicos;Sem Informação;Depto de Odontologia;SRP;;0.0;0.0;0.0;0.0;
2014;Pregão Eletrônico;096/2014;012455/2014-11;Homologado;Aquisição de lixeiras, sacos e coletores (SRP);material;Cecom;SRP;;113630.2;0.0;125785.88;0.0;
2014;Pregão Eletrônico;097/2014;018464/2014-16;Homologado;Aquisição de materiais de construção;material;PCU;SRP;;893748.6;0.0;512293.0;446874.3;
2014;Pregão Eletrônico;098/2014;022480/2014-03;Homologado;Aquisição de equipamentos de áudio e vídeo (SRP);material;CECOM;SRP;;2618435.38;0.0;1938205.82;0.0;
2014;Pregão Eletrônico;099/2014;021612/2014-71;Homologado;Brinde semana do servidor;Sem Informação;PROGEPE;Aquisição imediata;;10250.0;0.0;10200.0;0.0;
2014;Pregão Eletrônico;100/2014;022237/2014-87;Revogado;Contratação de serviço de montagem de grade de exibição e geração de sinal para TV UFPR;serviço;ACS;Sem Informação;;0.0;0.0;0.0;0.0;
2014;Pregão Eletrônico;101/2014;022365/2014-21;Homologado;Aquisição de Material de Consumo;material;Almoxarifado Central;SRP;;767700.8;0.0;411246.6;380850.4;
2014;Pregão Eletrônico;102/2014;023004/2014-00;Homologado;Aquisição de material de expediente para Almoxarifado (SRP);material;AC;SRP;;289927.8;0.0;155699.88;0.0;
2014;Pregão Eletrônico;103/2014;015841/2014-57;Homologado;Contratação de Serviços de Diagramação;Serviço;PRPPG;SRP;;238576.3;0.0;62578.0;0.0;
2014;Pregão Eletrônico;104/2014;016265/2014-65;Homologado;Fornecimento e instalação de lixeiras seletivas (SRP);material;PCU;SRP;;3240495.8;0.0;1457040.5;0.0;
2014;Pregão Eletrônico;105/2014;023631/2014-32;Homologado;Aquisição de ração peletizada;material;Biotério;SRP;;262224.0;0.0;213840.0;0.0;
2014;Pregão Eletrônico;106/2014;019880/2014-23;Homologado;Aquisição de vidrarias - SRP;material;Palotina;SRP;;906133.38;0.0;453753.2;0.0;
2014;Pregão Eletrônico;107/2014;003458/2013-75;Homologado;Contratação de seguro automotivo;Serviço;CENTRAN;Aquisição imediata;;50301.12;0.0;15787.0;0.0;
2014;Pregão Eletrônico;108/2014;023346/2014-11;Homologado;Aquisição de retificadora tangencial plana (usinagem);material;Eng. Mecânica;Aquisição imediata;;80500.0;0.0;64250.0;0.0;
2014;Pregão Eletrônico;109/2014;016092/2014-85;Homologado;Aquisição de caixas de papelão ondulado - SRP;material;IU;SRP;;28880.0;0.0;28880.0;0.0;
2014;Pregão Eletrônico;110/2014;020022/2014-21;Homologado;Aquisição de aparelhos de ativação e desativação eletromagnéticos;material;BC;Aquisição imediata;;27011.13;0.0;26995.0;0.0;
2014;Pregão Eletrônico;111/2014;020353/2014-61;Homologado;Contratação de empresa para impressão de Jornal;Serviço;SACOD;SRP;;13530.0;0.0;13529.97;0.0;
2014;Pregão Eletrônico;112/2014;018835/2014-51;Fracassado;Aquisição de pergolado - SRP;Sem Informação;BL;SRP;;41950.0;0.0;0.0;0.0;
2014;Pregão Eletrônico;113/2014;025685/2014-32;Homologado;Aquisição de móveis para desenho;material;CECOM;SRP;;113745.5;0.0;107197.5;0.0;
2014;Pregão Eletrônico;114/2014;024567/2014-15;Homologado;Aquisição de equipamentos para laboratório de Fisioterapia (SRP);material;CECOM;SRP;;141644.53;0.0;110739.35;0.0;
2014;Pregão Eletrônico;115/2014;034665/2014-71;Homologado;Elaboração de projetos básicos de arquitetura e engenharia (Lotes 1 e 2) para o Setor Palotina e Setor Litoral;Serviço;PCU;Sem Informação;;22435.67;0.0;22200.0;0.0;
2014;Pregão Eletrônico;116/2014;024755/2014-35;Homologado;Aquisição de cordão personalizado para evento Siepe;material;Progepe;Aquisição imediata;;7750.0;0.0;4650.0;0.0;
2014;Pregão Eletrônico;117/2014;021506/2014-98;Homologado;Contratação de Serviços Terceirizidos para Restaurantes Universitários;Serviço;RU;Sem Informação;;11481946.23;0.0;9094856.61;0.0;
2014;Pregão Eletrônico;118/2014;024456/2014-09;Homologado;Aquisição de equipamentos para laboratório de Física Moderna;material;Exatas;Aquisição imediata;;8799.64;0.0;8020.0;0.0;
2014;Pregão Eletrônico;119/2014;021252/2014-16;Homologado;Aquisição de materiais de construção destinados ao almoxarifado da PCU.;material;PCU;SRP;;443570.5;0.0;315632.85;0.0;
2014;Pregão Eletrônico;120/2014;020022/2014-21;Homologado;Aquisição de Carimbos;material;CECOM;SRP;;202105.8;0.0;88551.0;134737.2;
2014;Pregão Eletrônico;121/2014;026894/2014-01;Homologado;Aquisição de gêneros alimenticios semipereciveis;material;RU;SRP;;6227497.91;0.0;3782978.62;2927841.68;
2014;Pregão Eletrônico;122/2014;025208/2014-77;Homologado;Aquisição e Instalação de Toldos em Policarbonato;material;C. Biológicas;Aquisição imediata;;7867.9;0.0;7123.98;0.0;
2014;Pregão Eletrônico;123/2014;028807/2014-42;Homologado;Aquisição de Fios Cirurgicos;material;CECOM;SRP;;591721.25;0.0;254889.43;0.0;
2014;Pregão Eletrônico;124/2014;014033/2014-72;Suspenso;Aquisição de Ultrabook (informática);Sem Informação;DETF;Sem Informação;;5690.37;0.0;0.0;0.0;
2014;Pregão Eletrônico;125/2014;028540/2014-93;Homologado;Aquisição de Forno Rotativo para o LACAUT - Engª Química;material;TECNOLOGIA;Aquisição imediata;;76166.67;0.0;60450.0;0.0;
2014;Pregão Eletrônico;126/2014;031203/2014-83;Homologado;Aquisição de gêneros hortifrutigranjeiros;material;RU;SRP;;3190616.0;0.0;1906428.0;0.0;
2014;Pregão Eletrônico;127/2014;031256/2014-02;Homologado;Aquisição de material para laboratórios e insumos químicos (SRP);material;Cecom;SRP;;1227369.37;0.0;434446.07;0.0;
2014;Pregão Eletrônico;128/2014;026220/2014-07;Homologado;Aquisição de material de consumo, para coleta, identificação e análise de peixes, para o laboratório do Setor Litoral;material;Litoral;SRP;;8036.04;0.0;7531.3;0.0;
2014;Pregão Eletrônico;129/2014;027544/2014-54;Homologado;Aquisição de cortinas para o departamento de Educação Física do Setor/BL;material;Biológicas;Aquisição imediata;;6142.87;0.0;5800.0;0.0;
2014;Pregão Eletrônico;130/2014;028249/2014-15;Homologado;Fornecimento de serviços de audio e video, estrutura e iluminação para eventos;Sem Informação;S. Litoral;SRP;;750523.25;0.0;320380.0;0.0;
2014;Pregão Eletrônico;131/2014;023937/2014-99;Homologado;Aquisição de Ferramentas (SRP);material;Cecom;SRP;;1195907.75;0.0;640465.82;0.0;
2014;Pregão Eletrônico;132/2014;029606/2014-62;Suspenso;Contratação de empresa para prestação de serv. terceirizados;Sem Informação;BL/CEM;Sem Informação;;320655.72;0.0;0.0;0.0;
2014;Pregão Eletrônico;133/2014;034191/2014-49;Homologado;"Aquisição de banquetas de madeira para Setor Palotina
 e outras unidades (SRP)";material;Cecom;SRP;;58136.0;0.0;40728.0;0.0;
2014;Pregão Eletrônico;134/2014;034136/2014-59;Homologado;Aquisição de eletrodomésticos;material;Cecom;SRP;;828294.04;0.0;546230.85;0.0;
2014;Pregão Eletrônico;135/2014;048131/2013-22;Homologado;Contratação de serviço de montagem de grade de exibição e geração de sinal para TV UFPR (em subsituição ao pregão 100.2014);serviço;ASCOM;Sem Informação;;330000.0;0.0;329400.0;0.0;
2014;Pregão Eletrônico;136/2014;032355/2014-01;Homologado;Aquisição de bombonas plásticas e lacres de segurança;material;PCU;SRP;;104350.0;0.0;104320.0;0.0;
2014;Pregão Eletrônico;137/2014;035760/2014-73;Homologado;Aquisição de Equipamentos de Medição e Scanners (SRP);material;Cecom;SRP;;147768.35;0.0;115257.75;0.0;
2014;Pregão Eletrônico;138/2014;034877/2014-30;Suspenso;Equipamentos de embalagem e trasporte de acervo (telas artisticas emolduradas) conhecidos como cases.;Sem Informação;PROEC;Aquisição imediata;;9533.34;0.0;0.0;0.0;
2014;Pregão Eletrônico;139/2014;026115/2014-60;Homologado;Aquisição de equipamentos para laboratório de Fisioterapia (SRP);material;C. Biológicas;SRP;;21270.26;0.0;18391.9;0.0;
